"","species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"384","Senna morongii","Senna","Fabaceae",NA,NA,NA,"insertion based on genus"
"385","Senna occidentalis","Senna","Fabaceae",NA,NA,NA,"present in megatree"
"386","Senna pilifera","Senna","Fabaceae",NA,NA,NA,"insertion based on genus"
"387","Setaria cordobensis","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"388","Setaria fiebrigii","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"389","Setaria geminata","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"390","Setaria hunzikeri","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"391","Setaria lachnea","Setaria","Poaceae",NA,NA,NA,"present in megatree"
"392","Setaria leucopila","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"393","Setaria macrostachya","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"394","Setaria pampeana","Setaria","Poaceae",NA,NA,NA,"insertion based on genus"
"395","Setaria parviflora","Setaria","Poaceae",NA,NA,NA,"present in megatree"
"396","Setaria verticillata","Setaria","Poaceae",NA,NA,NA,"present in megatree"
"397","Sida cordifolia","Sida","Malvaceae",NA,NA,NA,"present in megatree"
"398","Sida rhombifolia","Sida","Malvaceae",NA,NA,NA,"present in megatree"
"399","Sideroxylon obtusifolium","Sideroxylon","Sapotaceae",NA,NA,NA,"present in megatree"
"400","Solanum angustifidum","Solanum","Solanaceae",NA,NA,NA,"insertion based on genus"
"401","Solanum argentinum","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"402","Solanum aridum","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"403","Solanum chacoense","Solanum","Solanaceae",NA,NA,NA,"insertion based on genus"
"404","Solanum glaucophyllum","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"405","Solanum hieronymi","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"406","Solanum multispinum","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"407","Solanum palinacanthum","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"408","Solanum sisymbriifolium","Solanum","Solanaceae",NA,NA,NA,"present in megatree"
"409","Sorghastrum pellitum","Sorghastrum","Poaceae",NA,NA,NA,"insertion based on genus"
"410","Sorghum almum","Sorghum","Poaceae",NA,NA,NA,"insertion based on genus"
"411","Sorghum bicolor","Sorghum","Poaceae",NA,NA,NA,"present in megatree"
"412","Sorghum halepense","Sorghum","Poaceae",NA,NA,NA,"present in megatree"
"413","Sphaeralcea bonariensis","Sphaeralcea","Malvaceae",NA,NA,NA,"insertion based on genus"
"414","Sphaeralcea miniata","Sphaeralcea","Malvaceae",NA,NA,NA,"insertion based on genus"
"415","Sporobolus cryptandrus","Sporobolus","Poaceae",NA,NA,NA,"present in megatree"
"416","Sporobolus indicus","Sporobolus","Poaceae",NA,NA,NA,"present in megatree"
"417","Sporobolus monandrus","Sporobolus","Poaceae",NA,NA,NA,"insertion based on genus"
"418","Sporobolus phleoides","Sporobolus","Poaceae",NA,NA,NA,"insertion based on genus"
"419","Sporobolus pyramidatus","Sporobolus","Poaceae",NA,NA,NA,"insertion based on genus"
"420","Stapfochloa parvispicula","Stapfochloa","Poaceae",NA,NA,NA,"insertion based on genus"
"421","Steinchisma hians","Steinchisma","Poaceae",NA,NA,NA,"present in megatree"
"422","Stemodia ericifolia","Stemodia","Scrophulariaceae",NA,NA,"Plantaginaceae","insertion based on genus"
"423","Stemodia lanceolata","Stemodia","Scrophulariaceae",NA,NA,"Plantaginaceae","insertion based on genus"
"424","Stetsonia coryne","Stetsonia","Cactaceae",NA,NA,NA,"present in megatree"
"425","Strombocarpa reptans","Strombocarpa","Fabaceae",NA,NA,NA,"insertion based on family"
"426","Strombocarpa strombulifera","Strombocarpa","Fabaceae",NA,NA,NA,"insertion based on family"
"427","Strombocarpa torquata","Strombocarpa","Fabaceae",NA,NA,NA,"insertion based on family"
"428","Struthanthus angustifolius","Struthanthus","Loranthaceae",NA,NA,NA,"insertion based on genus"
"429","Struthanthus uraguensis","Struthanthus","Loranthaceae",NA,NA,NA,"insertion based on genus"
"430","Suaeda divaricata","Suaeda","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"431","Tabebuia nodosa","Tabebuia","Bignoniaceae",NA,NA,NA,"insertion based on genus"
"432","Talinum fruticosum","Talinum","Talinaceae",NA,NA,NA,"present in megatree"
"433","Talinum paniculatum","Talinum","Talinaceae",NA,NA,NA,"present in megatree"
"434","Tamarix ramosissima","Tamarix","Tamaricaceae",NA,NA,NA,"present in megatree"
"435","Tanaecium dichotomum","Tanaecium","Bignoniaceae",NA,NA,NA,"present in megatree"
"436","Tanaecium selloi","Tanaecium","Bignoniaceae",NA,NA,NA,"present in megatree"
"437","Tessaria integrifolia","Tessaria","Asteraceae",NA,NA,NA,"present in megatree"
"438","Thalia geniculata","Thalia","Marantaceae",NA,NA,NA,"present in megatree"
"439","Thelesperma megapotamicum","Thelesperma","Asteraceae",NA,NA,NA,"present in megatree"
"440","Tillandsia argentina","Tillandsia","Bromeliaceae",NA,NA,NA,"present in megatree"
"441","Tillandsia bandensis","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"442","Tillandsia capillaris","Tillandsia","Bromeliaceae",NA,NA,NA,"present in megatree"
"443","Tillandsia duratii","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"444","Tillandsia ixioides","Tillandsia","Bromeliaceae",NA,NA,NA,"present in megatree"
"445","Tillandsia loliacea","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"446","Tillandsia lorentziana","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"447","Tillandsia recurvifolia","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"448","Tillandsia minutiflora","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"449","Tillandsia tricholepis","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"450","Tillandsia xiphioides","Tillandsia","Bromeliaceae",NA,NA,NA,"insertion based on genus"
"451","Tragia geraniifolia","Tragia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"452","Tragus berteronianus","Tragus","Poaceae",NA,NA,NA,"insertion based on genus"
"453","Leptochloa pluriflora","Leptochloa","Poaceae",NA,NA,NA,"present in megatree"
"454","Trichocereus terscheckii","Trichocereus","Cactaceae",NA,NA,NA,"insertion based on family"
"455","Tricomaria usillo","Tricomaria","Malpighiaceae",NA,NA,NA,"present in megatree"
"456","Tripodanthus acutifolius","Tripodanthus","Loranthaceae",NA,NA,NA,"insertion based on genus"
"457","Tripogon spicatus","Tripogon","Poaceae",NA,NA,NA,"insertion based on genus"
"458","Trithrinax campestris","Trithrinax","Arecaceae",NA,NA,NA,"present in megatree"
"459","Trithrinax schizophylla","Trithrinax","Arecaceae",NA,NA,NA,"insertion based on genus"
"460","Turnera sidoides","Turnera","Passifloraceae",NA,NA,NA,"insertion based on genus"
"461","Typha domingensis","Typha","Typhaceae",NA,NA,NA,"present in megatree"
"462","Urtica circularis","Urtica","Urticaceae",NA,NA,NA,"present in megatree"
"463","Vachellia albicorticata","Vachellia","Fabaceae",NA,NA,NA,"insertion based on genus"
"464","Vachellia aroma","Vachellia","Fabaceae",NA,NA,NA,"insertion based on genus"
"465","Vachellia caven","Vachellia","Fabaceae",NA,NA,NA,"present in megatree"
"466","Vallesia glabra","Vallesia","Apocynaceae",NA,NA,NA,"insertion based on genus"
"467","Vassobia breviflora","Vassobia","Solanaceae",NA,NA,NA,"present in megatree"
"468","Vernonanthura chamaedrys","Vernonanthura","Asteraceae",NA,NA,NA,"present in megatree"
"469","Vigna luteola","Vigna","Fabaceae",NA,NA,NA,"present in megatree"
"470","Wissadula densiflora","Wissadula","Malvaceae",NA,NA,NA,"insertion based on family"
"471","Ximenia americana","Ximenia","Olacaceae",NA,NA,NA,"present in megatree"
"472","Zea mays","Zea","Poaceae",NA,NA,NA,"present in megatree"
"473","Zinnia peruviana","Zinnia","Asteraceae",NA,NA,NA,"insertion based on family"
